Target site: layer 1, position 12
Shared dirs: (10, 64), Reference acts: (2000, 64)

============================================================
CONDITION A (alpha=0.1, 20 seeds)
============================================================
  Training A_seed0...
  Step    200 | loss 1.6539 | aux 0.0000 | acc 0.0000 | 9s
  Step    400 | loss 1.6099 | aux 0.0000 | acc 0.0000 | 18s
  Step    600 | loss 1.5781 | aux 0.0000 | acc 0.0004 | 27s
  Step    800 | loss 1.3005 | aux 0.0000 | acc 0.0006 | 36s
  Step   1000 | loss 1.2033 | aux 0.0000 | acc 0.0016 | 44s
  Step   1200 | loss 0.8800 | aux 0.0000 | acc 0.0138 | 53s
  Step   1400 | loss 0.2458 | aux 0.0000 | acc 0.4288 | 62s
  Step   1600 | loss 0.0693 | aux 0.0000 | acc 0.9530 | 71s
  Step   1800 | loss 0.0211 | aux 0.0000 | acc 0.9556 | 79s
  Step   2000 | loss 0.0361 | aux 0.0000 | acc 0.9782 | 88s
  Step   2200 | loss 0.0241 | aux 0.0000 | acc 0.9666 | 97s
  Step   2400 | loss 0.0195 | aux 0.0000 | acc 0.9780 | 106s
  Step   2600 | loss 0.0101 | aux 0.0000 | acc 0.9908 | 113s
  >>> Converged at step 2600
  Step   2800 | loss 0.0223 | aux 0.0000 | acc 0.9834 | 116s
  Step   3000 | loss 0.0202 | aux 0.0000 | acc 0.9306 | 120s
  Training A_seed1...
  Step    200 | loss 1.7223 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6004 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.6117 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 1.5972 | aux 0.0000 | acc 0.0000 | 15s
  Step   1000 | loss 1.5704 | aux 0.0000 | acc 0.0002 | 18s
  Step   1200 | loss 0.9390 | aux 0.0000 | acc 0.0068 | 22s
  Step   1400 | loss 0.8540 | aux 0.0000 | acc 0.0096 | 26s
  Step   1600 | loss 0.8583 | aux 0.0000 | acc 0.0100 | 29s
  Step   1800 | loss 0.1119 | aux 0.0000 | acc 0.6644 | 33s
  Step   2000 | loss 0.0882 | aux 0.0000 | acc 0.8562 | 36s
  Step   2200 | loss 0.0366 | aux 0.0000 | acc 0.9396 | 40s
  Step   2400 | loss 0.0161 | aux 0.0000 | acc 0.9784 | 44s
  Step   2600 | loss 0.0098 | aux 0.0000 | acc 0.9912 | 47s
  >>> Converged at step 2600
  Step   2800 | loss 0.0089 | aux 0.0000 | acc 0.9772 | 51s
  Step   3000 | loss 0.0048 | aux 0.0000 | acc 0.9896 | 54s
  Training A_seed2...
  Step    200 | loss 1.6577 | aux 0.0000 | acc 0.0002 | 3s
  Step    400 | loss 1.6363 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.3770 | aux 0.0000 | acc 0.0012 | 11s
  Step    800 | loss 0.8884 | aux 0.0000 | acc 0.0160 | 14s
  Step   1000 | loss 0.1719 | aux 0.0000 | acc 0.7104 | 18s
  Step   1200 | loss 0.1575 | aux 0.0000 | acc 0.6640 | 21s
  Step   1400 | loss 0.0808 | aux 0.0000 | acc 0.8386 | 25s
  Step   1600 | loss 0.0574 | aux 0.0000 | acc 0.8638 | 28s
  Step   1800 | loss 0.0526 | aux 0.0000 | acc 0.8730 | 32s
  Step   2000 | loss 0.0420 | aux 0.0000 | acc 0.9198 | 36s
